,review_id,user_id,business_id,stars,useful,funny,cool,text,date
2370338,_WTGv5XnA-qb_XD1D7Z0jg,6PgdGb3HrZdsfl2GiULo8w,RESDUcs7fIiihp38-d6_6g,5,0,1,0,"After getting food poisoning at the Palms hotel, I was scared to eat at any more buffets. But we figured with the high price tag, the positive reviews etc, it was worth a chance. I'm really glad we gave it a try. (btw I uploaded a collage of the things we ate)

The seafood line is by the far the longest, i would not recommend showing up in heels if you're female, my feet were killing me between the line at the door, the line to get sat, and the seafood line. Totally worth it though.

The prime rib was the best Ive ever had.

I loved the sweet potato tots.

I even have PHO!

The music was great and so was our server Alma, ( he was a older gentleman with a mustache and was very attentive and delightful).

I will return next trip in more comfortable shoes. After a horrible visit at the palms with non stop issues in a matter of 48 hours, your establishment was truly the high light of our trip. Thank you for an exquisite dinner.",2012-12-04 03:10:18
2370357,JlNnsvMPLK_1-X2hwzK24w,IS9yw8P2uAPBX6FNLLX4KA,RESDUcs7fIiihp38-d6_6g,4,39,21,29,"""A feast worthy of Gods""

Baccarnal Buffet in Caesar Palace is consider the best buffet in the Las Vegas by most food critics   It rated highest in trip advisor and yelp for a buffet restaurant in Vegas.  I was only going to eat Buffet once in this trip, so I decided must try the best there is available.  My review is based on late breakfast and lunch during a non-holiday weekday.  Finding this place is confusing and take more than five minutes from the main entrance to get here, this is common in most buffet in the strip.  

Admission Price
*Breakfast (Monday - Friday, 7 a.m. - 11 a.m.): $25.99
*Brunch (Saturday - Sunday, 8 a.m. - 3 p.m.): $40.99
* Lunch (Monday - Friday, 11 a.m. - 3 p.m.): $32.99
* Dinner (Daily, 3 p.m. - 10 p.m.): $45.99 on weekdays, $50.99 on weekends 
* Holiday expect to paid $10 more.
* Total Reward Card Holder gets $1 off.
* Price not included the 8.1% sales tax.

Atmosphere
The interior is similar to those of mid-level restaurant, they claim it cost 17 million that might not felt like it perhaps they included all the equipment and kitchen tools in to the cost.  There is a lot of seating, but do not count it those do not mean anything during dinner and weekend which can get full very quick.  The dessert section is separate counter from the rest of the food.

Customer Service
We got assign an individual server, at first she was helpful but quickly kind of forgot our table.  This was not during a weekday lunch so is not busy; there is was still several table empty.  Imagine in dinner or weekend, the service might be worst. The nicest thing is that they did not enforce the 2 hours eating time limit as they normally do in a busy time.   During peak hours, you would need to get an estimated waiting time in a kiosk machine, 

Beverage
You can to choose variety of juice and coffee.  Some yelper was right that the juice they serving were no longer freshly squeezed, but instead are concentrate and probably are pre-made package.  At this price tag, they should had keep the fresh juice instead of during the cheap way.  I was told that the Mexico Section would had fresh juice and Hocharta but never came out.

Breakfast
The item in the breakfast was the best part of the hot food section I think.  The typical American favorite food like Scramble Egg and Fried Chicken are just perfect in term of texture and flavor.  The dim sum was disappoint, it tasted like those cheap takeout place. 

Seafood
At this price they don't had crab leg for lunch, I heard Aria is the only in the strip serve cheaper.  I can settle with no crab leg as long the other item in the seafood make up for it.  However, it failed to impress me at all.  The got the jumbo shrimp cocktail, looks good but tasted plain.  Probably the worst jumbo shrimp I've tasted.  The oyster was small and wasn't much flavor either, lack freshness.  The smock salmon was not that great either, they got three version and all were no good.  Sushi was ok, I like the sushi rice it was authentic one, however the tuna wasn't good.  But salmon was alright.  There was no specialty or hand roll here.

Noodle Section
Skip this one, it was the worst section in the buffet I think.  They use pre-packed noodle, not even the good kind.  I try their Ramen, they use nissin kinds of noodle.  The broth was supposed to be Tonkotsu it tasted more like Shoyu.  There was tiny slice of chashu.  If they wanted to had this type of item, better get it right.  The pho was slight better but still no even close to the real Pho you can from any shop in L.A.

Meat Section
I tried their sausage and beef ribs, it was mediocre at best.  The person that cutting the meat is cool with smile.  There was no lamb chop for lunch, but they do serve prime ribs. The best food in the hot section were the sliders, those were mouthwatering.   I should had get more of those.  I think the burger were prime meat it was extreme flavorful.  Actually, it tasted better than the Gordon Ramsey Hell Burger, which later I eat that night.  The made to order taco wasn't good.  It tasted like king taco and other cheap taco place.

Dessert Section
They dessert has variety of food but nothing really won me over except one item.  Their made to order crepes were the best dessert easily. Fresh and with the right texture, I added the ice cream which was heavenly match.  Their Crème brûlée was too watery.

Fruit and Salad
They were pretty good in general, Large selection of salads.  You won't get disappoint here.  Just wish they were more fruits.

My 2 Cents
To be honest I am debating giving this 4 or 3 stars, I ended gave a four since there few dish were excellent and the best I had (Sliders, Crepes, Fried Chicken) .  But many other dish were average and even bad..  The price is the problem, they need to better quality and included more crab leg or lamb chop to worth the price.  I didn't get any food sickness after eating here over 2 hours which is a good sigh that the food is prepare it right.",2014-01-17 00:50:50
2370373,hBkoWffORRb6aqKhC_Li2A,uZdFsE_aHbFBChgN6Xa8tw,RESDUcs7fIiihp38-d6_6g,4,1,1,1,"The crab legs are better than the ones at Wicked Spoon and they have huge prawns here.  The sheer selection was insane.  I didn't get to save any room for pasta, pizza, cheese or sushi because I was oinking out on the crab legs, prawns and dessert.  The tonkatsu ramen is ok and had a piece of pork in it.

It's $105 for two people for Sunday brunch with bottomless mimosas and bloody marys.  The bloody marys were disgusting.  We came around 2p at the kiosk and got in before 3p when they up the dinner prices.  

The dessert was pretty good.  They have shaved ice, crepes, black sesame and green mint tea cream.  They also have taffy, gummy bears and the mini desserts.",2015-06-08 18:03:09
2370411,rbkxvrgZg5kdCL2a66QYmA,8ZWJNAEWsymXDzKx3B0tTQ,RESDUcs7fIiihp38-d6_6g,1,0,0,0,Not worth it! Too salty food and expensive! This is our furst and kast visit on this buffet!,2016-12-19 16:15:29
2370500,5tw_pedoHVi9bgeiBNsISg,E0sm4Ve7ifanFYeQMcV8Eg,RESDUcs7fIiihp38-d6_6g,5,0,0,0,I would give this infinite stars if I could. My family has a diamond card at Caesars Palace so we skipped the long line. Literally no wait. The food was just perfect. King crab legs and lamb chops won honorable mention for me. You can't possibly ask for a better buffet anywhere else in the world. 5 star food at an unlimited supply.,2015-07-28 07:13:17
2370586,gmZJrnsIpYIrhPBsaAVjIw,mCHQQxluggGNYOKqpiR94g,RESDUcs7fIiihp38-d6_6g,5,0,0,0,"Really enjoyed everything they had to offer. It's a good idea to start at the Asian side and walk the whole buffet before you actually start picking out your food because there is so much to choose from! 
We went on a Tuesday night and then line was long. Don't know if it's always like this but glad we were able to use the diamond status to skip the line.
The seafood station always had people waiting but they were also constantly refilling the crab legs and oysters and stone crab claws and shrimp. There was a guy complaining because they used to have hot crab legs which got moved to italian station and was really ""crabby"" about that-seriously, it was just a short walk away. 
And the juices that they have in the Mexican station were better than the juices that you can order when you sit down.
Carving station had lots to choose from and all was tasty. Went back for seconds on the lamb chops
Dessert station was awesome! Gelato and freshmade crepes. And cake pops. 
After dessert I realized I forgot about the Asian noodles so ended up going back for udon and ramen noodles too. Ramen soup was a little salty but I still ate the noodles. 
Next time in Vegas-We will be back!!",2015-04-01 16:18:34
2370676,b7zKWOeTh_ADI6Qz6SVriQ,buCO6TON9r7V04epJxRbbg,RESDUcs7fIiihp38-d6_6g,4,0,0,0,"Came for dinner at $55 per person at around 5pm (practically no line at all). Great service overall but food quality was variable. Wasn't a big fan of the chinese or the mexican food, but the sushi was delicious along with the salads. Our favorite was a quinoa arugula pomegranate salad along with the small cups of mozzarella and tomato drizzled in balsamic. For Italian, you can make your own pasta (seemed limited to spaghetti and penne, but several different toppings) and a gnocchi that could use a bit more seasoning; awful chewy calamari, didn't try the charcuterie. The seafood buffet and beef buffet was decent. You can also have made to order ramen, pho, udon, etc. Udon was OK. My fiance demolished his crab legs and we enjoyed the prime rib and the lamb chops. The pork belly was overly salty - couldn't eat it. Large array of desserts - my favorites chocolate cake, green tea white chocolate covered strawberries, boba thai iced tea, chocolate mousse, fudge, and fruit.",2017-03-03 18:57:13
2370859,oYpcE6xvCfCI6OuhzA8Nyw,fGkOEXUPBnsloB-UrHVNLw,RESDUcs7fIiihp38-d6_6g,4,0,0,0,"Probably one the best buffet I've been to in Vegas.  Located in Caesar's Palace, this is the newest buffet available so it will be pricey.  You're looking at $55 easy per person for dinner, and I think it's debatable if it's worth it or not.  They have a wide variety of choices from Asian to American.  Their meat is not too dry, seasoned well and very tender but their most popular area will be their seafood area, where they will reheat your King crab legs in a boiling pot, freshly shucked oysters, and various other dishes.  Lines are long so be ready!  They also have a great variety of desserts too.",2013-04-10 16:33:52
2371005,9n4EEhhLlaLDX3QQFVoHMw,or1TN9s4LSRfBF6kmzmb5g,RESDUcs7fIiihp38-d6_6g,5,0,0,0,Lots of choices. Good service. Line wasn't as long as we expected. Denise was great! I'd definitely come back. They even have egg tarts!,2017-03-27 00:42:19
2371103,krKBoleiYNA9x2fC5ifHWQ,T4-Kjr4CvgYN6WRFgDB2pw,RESDUcs7fIiihp38-d6_6g,3,1,0,1,"I have been craving getting down with a buffet for a LONG time now - blame it on a year of wedding planning and watching what I eat - but the last few months I have constantly been saying to my hubby ""Let's just drive to LV and buffet!!"" Of course he would look at me and say ""Uh huh...sure sure"" bc obviously driving 5 hours to stuff oneself is not very practical.

Finally, though, we came with some friends/fam for July 4th weekend (note to self - avoid the 7/4 weekend! Absolute havoc). After reading good reviews for the new Caesar's buffet we decided to do Bacchanal the morning before we drove back to LA. We dragged our butts up at 8am, got a workout in (to reduce the guilt a smidge) and I sent the hubby to get in line at 9am. When he showed up, though, there was absolutely nobody there AND there was an early bird special to pay I believe $32.99 instead of 40.99 if you come before 9:30am. If you have a Total Rewards card you get $1.00 off too.

Of course the problem with being an early bird is that the ""better"" stuff may not be there (ie the more unique dinner items, etc.). There was a great spread though - fresh crepes, pancakes, waffles, eggs, pastries, gelato, fruit, salads, salsa, chinese food, meats (prime rib, ribs, sausages), cute little mini meals (ie small corned beef hashes), enough fried food to clog at least one artery per person, shrimp cocktail and king crab legs, omelets made to order, deserts, etc. etc. The food was certainly plentiful but as always, quantity does not make up for quality. The best thing was the king crab legs while everything else was subpar - unfortunately, the small pre-made portions = dried out food. There wasn't anything especially unique or delicious. The shrimp were slimy and a lot of the food just didn't seem that freshly made. 

All said, it was OK but didn't wow me or show me why it was deserving of being the ""best buffet."" Of course, we still stuffed oursevlves silly - I mean, we did just plunk down some $$ (we ate so much we didn't actually eat anything again until 8/9pm that night. And even then all I could muster room up for was some fruit).",2013-07-12 21:06:30
